Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1TCRCDezEMaQ60yIO8Me6F,"Dana dana","L'anthologie du Raï (50 titres)","Cheb Rayan",2016-01-29,232333,0,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T00:20:04Z,"deep rai,moroccan pop,rai,rif","MLP",0.741,0.835,0,-7.095,1,0.0482,0.0439,0.00000173,0.232,0.913,105.807,4
0tgVpDi06FyKpA1z0VMD4v,"Perfect","÷ (Deluxe)","Ed Sheeran",2017-03-03,263400,85,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:11:31Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,3
7wKUqlOL9OES7gwPdgUcQl,"رايحين نسهر - بام بام","رايحين نسهر - بام بام - سينجل","Mohamed Ramadan",2019-01-01,169500,54,myo20ysxpfrjcs3hesgkcs93f,2024-10-16T10:17:39Z,"arab pop,egyptian pop,mahraganat","Rotana Music",0.72,0.997,2,-2.403,1,0.0625,0.00858,0.122,0.189,0.929,160.024,4
1bxP4M9ICllcg7mel8kH89,"Reine","Gentleman 2.0","Dadju",2017-11-24,199266,67,myo20ysxpfrjcs3hesgkcs93f,2024-09-18T20:11:48Z,"french hip hop,pop urbaine,r&b francais","Universal Music Division Capitol Music France",0.399,0.395,2,-10.782,1,0.0593,0.76,0,0.0815,0.704,98.174,4
0pwYLVXVknPSGUQb39cePC,"As Long As You Love Me","Believe (Deluxe Edition)","Justin Bieber,Big Sean",2012-06-15,229466,65,myo20ysxpfrjcs3hesgkcs93f,2024-08-28T01:19:50Z,"canadian pop,pop,detroit hip hop,hip hop,pop rap,r&b,rap,southern hip hop,trap","RBMG/Def Jam",0.571,0.873,0,-3.382,0,0.1,0.0811,0,0.361,0.613,139.691,4
6QFCMUUq1T2Vf5sFUXcuQ7,"Beauty And A Beat","Believe","Justin Bieber,Nicki Minaj",2012-01-01,227986,80,myo20ysxpfrjcs3hesgkcs93f,2024-08-28T01:27:28Z,"canadian pop,pop,hip pop,queens hip hop,rap","RBMG/Def Jam",0.601,0.843,0,-4.87,1,0.0593,0.000704,0.0000527,0.0681,0.534,128.002,4
7gd01LMH2gBcoDngSt8sq9,"Next To You (feat. Justin Bieber)","F.A.M.E. (Expanded Edition)","Chris Brown,Justin Bieber",2011-03-22,265813,68,myo20ysxpfrjcs3hesgkcs93f,2024-09-27T12:39:28Z,"r&b,rap,canadian pop,pop","Jive",0.67,0.676,8,-4.725,1,0.037,0.0201,0,0.11,0.349,114.974,4
575HcGSWIDCThpdUgtSCzK,"Zina","Brya","Babylone",2013-06-27,237217,56,myo20ysxpfrjcs3hesgkcs93f,2024-10-16T09:42:00Z,"rai,rif","Aswatt Studio",0.674,0.351,7,-10.224,1,0.0376,0.835,0,0.124,0.627,95.999,4
3Zlfkuzu8esBnCck3OAztD,"Win Yamchi Zine","Win Yamchi Zine","Cameleon",2017-09-25,193881,31,myo20ysxpfrjcs3hesgkcs93f,2024-10-16T09:53:50Z,"rai","Cameleon",0.695,0.649,7,-10.195,1,0.194,0.142,0,0.319,0.612,157.55,3
3RTIYfHCoHIukOD5qMgGwY,"Casa","Casa","Ouidad",2023-06-09,148244,41,myo20ysxpfrjcs3hesgkcs93f,2024-10-16T09:54:59Z,"","Play Two",0.716,0.556,11,-5.235,0,0.0366,0.103,0,0.148,0.525,99.961,4
5Z4F0zOGKoYLv8EtBhLzmZ,"Ah W Noss","Greatest Hits","Nancy Ajram",2008-01-01,280520,41,myo20ysxpfrjcs3hesgkcs93f,2024-10-16T10:00:05Z,"afghan pop,arab pop,belly dance,lebanese pop","EMI MUSIC ARABIA",0.809,0.981,7,-1.024,0,0.112,0.0856,0.0000477,0.0482,0.964,141.975,4
5l4Lla3ntoJIkCud07XlYn,"Ya Tabtab Wa Dallaa","Ya Tabtab","Nancy Ajram",2006-12-01,262240,63,myo20ysxpfrjcs3hesgkcs93f,2024-10-16T10:01:15Z,"afghan pop,arab pop,belly dance,lebanese pop","In2Musica",0.78,0.865,7,-4.453,0,0.0345,0.0531,0.00000543,0.019,0.949,140.021,4
03qj4j7ESR4ryymbR3Bvlq,"Ma Yhemmak","Enta Menni","Yara",2008,275043,43,myo20ysxpfrjcs3hesgkcs93f,2024-10-16T10:02:34Z,"arab pop,lebanese pop","Melody Music Production & Distribution",0.676,0.909,2,-4.928,0,0.0551,0.197,0,0.488,0.764,139.881,4
3CxyfJ8WWtp9TwAjhU03Ez,"Shou Bado","Shou Bado","Yara",2019-12-25,203990,0,myo20ysxpfrjcs3hesgkcs93f,2024-10-16T10:02:59Z,"arab pop,lebanese pop","Independent",0.655,0.961,0,-4.747,1,0.0568,0.116,0.0000862,0.0963,0.755,150.026,4
