Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
6uNyTYOEaNOY38r1dgoqAL,"Who Knows - Live At Fillmore East, 1970 / 50th Anniversary",Band Of Gypsys (50th Anniversary / Live),Jimi Hendrix,1970,576360,37,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:37:59Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.551,0.619,10,-6.929,0,0.185,0.155,0.0267,0.854,0.481,83.959,audio_features,spotify:track:6uNyTYOEaNOY38r1dgoqAL,https://api.spotify.com/v1/tracks/6uNyTYOEaNOY38r1dgoqAL,https://api.spotify.com/v1/audio-analysis/6uNyTYOEaNOY38r1dgoqAL,576360,4
3bepDVJI8tECicV9bDsSxt,"Machine Gun - Live At Fillmore East, 1970 / 50th Anniversary",Band Of Gypsys (50th Anniversary / Live),Jimi Hendrix,1970,759360,36,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:40:16Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.334,0.689,0,-7.316,0,0.184,0.108,0.161,0.564,0.474,147.412,audio_features,spotify:track:3bepDVJI8tECicV9bDsSxt,https://api.spotify.com/v1/tracks/3bepDVJI8tECicV9bDsSxt,https://api.spotify.com/v1/audio-analysis/3bepDVJI8tECicV9bDsSxt,759360,4
4chpYNRE0VHMlYSgZBzFci,"Changes - Live At Fillmore East, 1970 / 50th Anniversary",Band Of Gypsys (50th Anniversary / Live),Jimi Hendrix,1970,311933,27,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:40:20Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.49,0.8,3,-7.979,1,0.0512,0.102,0.0746,0.736,0.804,116.405,audio_features,spotify:track:4chpYNRE0VHMlYSgZBzFci,https://api.spotify.com/v1/tracks/4chpYNRE0VHMlYSgZBzFci,https://api.spotify.com/v1/audio-analysis/4chpYNRE0VHMlYSgZBzFci,311933,4
3XR4rCVMpjGraeX9io1pwO,"Power To Love - Live At Fillmore East, 1970 / 50th Anniversary",Band Of Gypsys (50th Anniversary / Live),Jimi Hendrix,1970,415813,29,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:40:25Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.48,0.694,10,-7.956,0,0.0509,0.0287,0.547,0.672,0.737,85.082,audio_features,spotify:track:3XR4rCVMpjGraeX9io1pwO,https://api.spotify.com/v1/tracks/3XR4rCVMpjGraeX9io1pwO,https://api.spotify.com/v1/audio-analysis/3XR4rCVMpjGraeX9io1pwO,415813,4
5Z9hsbuojNcmmf1VYQMBvp,"Message To Love - Live At Fillmore East, 1970 / 50th Anniversary",Band Of Gypsys (50th Anniversary / Live),Jimi Hendrix,1970,323760,25,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:40:28Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.382,0.764,11,-6.661,1,0.0515,0.014,0.00784,0.217,0.671,116.118,audio_features,spotify:track:5Z9hsbuojNcmmf1VYQMBvp,https://api.spotify.com/v1/tracks/5Z9hsbuojNcmmf1VYQMBvp,https://api.spotify.com/v1/audio-analysis/5Z9hsbuojNcmmf1VYQMBvp,323760,4
3eyusi7FLZZW3TjZoCgwVf,"We Gotta Live Together - Live At Fillmore East, 1970 / 50th Anniversary",Band Of Gypsys (50th Anniversary / Live),Jimi Hendrix,1970,349920,24,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:40:32Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.396,0.77,1,-6.9,1,0.0501,0.0539,0.13,0.964,0.635,112.338,audio_features,spotify:track:3eyusi7FLZZW3TjZoCgwVf,https://api.spotify.com/v1/tracks/3eyusi7FLZZW3TjZoCgwVf,https://api.spotify.com/v1/audio-analysis/3eyusi7FLZZW3TjZoCgwVf,349920,4
1DfWmv1eJU1a9tuGpqKGFP,Gypsy Eyes,Electric Ladyland,Jimi Hendrix,1968-10-25,223680,48,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:40:49Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.599,0.622,6,-7.019,1,0.128,0.222,0.0,0.536,0.907,117.574,audio_features,spotify:track:1DfWmv1eJU1a9tuGpqKGFP,https://api.spotify.com/v1/tracks/1DfWmv1eJU1a9tuGpqKGFP,https://api.spotify.com/v1/audio-analysis/1DfWmv1eJU1a9tuGpqKGFP,223680,4
2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,Electric Ladyland,Jimi Hendrix,1968-10-25,240800,72,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:40:58Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,audio_features,spotify:track:2aoo2jlRnM3A0NyLQqMN2f,https://api.spotify.com/v1/tracks/2aoo2jlRnM3A0NyLQqMN2f,https://api.spotify.com/v1/audio-analysis/2aoo2jlRnM3A0NyLQqMN2f,240800,4
2AxCeJ6PSsBYiTckM0HLY7,Voodoo Child (Slight Return),Electric Ladyland,Jimi Hendrix,1968-10-25,313373,64,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:41:03Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.214,0.91,8,-6.662,1,0.389,0.477,0.00833,0.0517,0.448,175.549,audio_features,spotify:track:2AxCeJ6PSsBYiTckM0HLY7,https://api.spotify.com/v1/tracks/2AxCeJ6PSsBYiTckM0HLY7,https://api.spotify.com/v1/audio-analysis/2AxCeJ6PSsBYiTckM0HLY7,313373,4
6p5RohbRLDSjeERMZ90hMg,House Burning Down,Electric Ladyland,Jimi Hendrix,1968-10-25,272840,37,31mlndohcwncxolteqr3cp6alcg4,2024-06-11T09:41:07Z,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",,,,,,,,,,,,,,0.426,0.888,5,-5.052,0,0.21,0.693,0.00117,0.339,0.541,116.267,audio_features,spotify:track:6p5RohbRLDSjeERMZ90hMg,https://api.spotify.com/v1/tracks/6p5RohbRLDSjeERMZ90hMg,https://api.spotify.com/v1/audio-analysis/6p5RohbRLDSjeERMZ90hMg,272840,4
